Nb
as received
Sample dimentions in mm: 0.7000 x 0.000 x 14.18
Photocell sensitivity 0.056 V/mm, Optic arm 328 mm
User: Iva
H 21 440 2.0 450 120 1.000  20 1.0E-1
23.11.2013, 23:09

T[K]   F[Hz]  Theta[rad]   Modulus  MaxStrain Center[mm] Time[s] TOven[K]
436.36 1.000576 2.048886E-2 0.652832  3.483E-5 8.27503 6761 450.00
436.36 1.000576 2.092108E-2 0.652983  3.469E-5 8.27366 6791 450.00
436.34 1.000576 2.029839E-2 0.652445  3.471E-5 8.27420 6821 450.00
436.33 1.000576 2.029404E-2 0.652735  3.469E-5 8.27439 6851 450.00
436.31 1.000576 2.017611E-2 0.652693  3.481E-5 8.27490 6880 450.00
436.30 1.000576 2.030161E-2 0.652569  3.484E-5 8.27488 6910 450.00
436.29 1.000576 2.041615E-2 0.652811  3.464E-5 8.27417 6940 450.00
436.28 1.000576 2.037278E-2 0.652798  3.469E-5 8.27513 6970 449.95
436.26 1.000576 2.022029E-2 0.652696  3.471E-5 8.27445 7000 450.00
436.25 1.000576 2.036892E-2 0.652929  3.477E-5 8.27514 7029 449.95
436.24 1.000576 2.020602E-2 0.652757  3.466E-5 8.27395 7059 450.00
436.24 1.000576 2.022709E-2 0.652877  3.483E-5 8.27549 7089 449.90
436.24 1.000576 2.037610E-2 0.652788  3.478E-5 8.27532 7119 449.95
436.23 1.000576 2.016185E-2 0.652695  3.478E-5 8.27534 7149 449.95
436.24 1.000576 2.008597E-2 0.652820  3.486E-5 8.27454 7178 450.00
436.24 1.000576 1.997463E-2 0.652672  3.462E-5 8.27361 7208 450.00
436.24 1.000576 2.020871E-2 0.652788  3.477E-5 8.27518 7238 449.95
436.24 1.000576 2.008798E-2 0.652920  3.469E-5 8.27539 7268 450.00
436.24 1.000576 2.039188E-2 0.652820  3.487E-5 8.27551 7298 450.00
436.24 1.000576 2.017341E-2 0.652924  3.461E-5 8.27485 7327 450.00
436.24 1.000576 2.030370E-2 0.652932  3.482E-5 8.27566 7357 450.05
436.24 1.000576 1.981553E-2 0.652954  3.476E-5 8.27556 7387 450.05
436.24 1.000576 2.019918E-2 0.652814  3.480E-5 8.27459 7417 450.00
436.23 1.000576 2.087780E-2 0.652787  3.474E-5 8.27487 7447 450.00
436.23 1.000576 2.033563E-2 0.653111  3.481E-5 8.27383 7476 450.00
436.23 1.000576 1.999904E-2 0.652743  3.477E-5 8.27435 7506 450.00
