Nb
as received
Sample dimentions in mm: 0.7000 x 0.000 x 14.18
Photocell sensitivity 0.056 V/mm, Optic arm 328 mm
User: Iva
C 2 550 2.0 290 15 1.000  20 3.0E-1
20.11.2013, 14:40

T[K]   F[Hz]  Theta[rad]   Modulus  MaxStrain Center[mm] Time[s] TOven[K]
371.59 1.000576 4.780014E-3 0.674934  1.015E-4 7.84789 6405 352.75
371.01 1.000576 4.821402E-3 0.675264  1.017E-4 7.84253 6435 352.35
370.44 1.000576 4.967559E-3 0.675222  1.017E-4 7.84426 6465 351.90
369.86 1.000576 4.808158E-3 0.675472  1.017E-4 7.84213 6494 351.50
369.30 1.000576 4.781126E-3 0.675495  1.017E-4 7.84019 6524 351.15
368.75 1.000576 4.384003E-3 0.675640  1.019E-4 7.83707 6553 350.75
368.21 1.000576 4.635822E-3 0.675810  1.016E-4 7.84026 6583 350.40
367.65 1.000576 4.663684E-3 0.675889  1.014E-4 7.83819 6613 350.00
367.15 1.000576 4.705662E-3 0.675853  1.016E-4 7.83718 6642 349.60
366.56 1.000576 4.621043E-3 0.676240  1.016E-4 7.83734 6672 349.15
366.04 1.000576 4.658188E-3 0.676164  1.016E-4 7.83349 6701 348.75
365.51 1.000576 4.364099E-3 0.676281  1.016E-4 7.83461 6731 348.35
365.01 1.000576 4.482699E-3 0.676225  1.015E-4 7.83407 6761 347.95
364.51 1.000576 4.608560E-3 0.676379  1.014E-4 7.83625 6790 347.55
363.95 1.000576 4.451543E-3 0.676602  1.015E-4 7.83246 6820 347.20
363.44 1.000576 4.315537E-3 0.676680  1.016E-4 7.82853 6849 346.80
362.96 1.000576 4.274956E-3 0.676684  1.014E-4 7.82537 6879 346.45
362.40 1.000576 4.490132E-3 0.676727  1.012E-4 7.82467 6909 346.05
361.96 1.000576 4.415654E-3 0.676787  1.013E-4 7.82739 6938 345.65
361.47 1.000576 4.470576E-3 0.676929  1.011E-4 7.82582 6968 345.30
360.98 1.000576 4.285529E-3 0.676975  1.015E-4 7.82410 6997 344.95
360.48 1.000576 4.374919E-3 0.677075  1.019E-4 7.82500 7027 344.55
360.00 1.000576 4.292611E-3 0.677027  1.014E-4 7.81834 7057 344.20
359.51 1.000576 4.048293E-3 0.677083  1.020E-4 7.82726 7086 343.85
359.04 1.000576 4.088229E-3 0.677330  1.014E-4 7.82447 7116 343.50
358.57 1.000576 4.180245E-3 0.677223  1.014E-4 7.82333 7145 343.15
358.11 1.000576 4.091386E-3 0.677207  1.010E-4 7.82178 7175 342.80
357.68 1.000576 4.060565E-3 0.677364  1.010E-4 7.82041 7205 342.40
357.19 1.000576 4.078488E-3 0.677270  1.021E-4 7.81666 7234 342.10
356.74 1.000576 4.145759E-3 0.677389  9.997E-5 7.81432 7264 341.75
356.30 1.000576 3.931192E-3 0.677394  1.009E-4 7.82086 7293 341.50
355.87 1.000576 3.984353E-3 0.677449  1.013E-4 7.81519 7323 341.10
355.46 1.000576 4.106313E-3 0.677469  1.021E-4 7.80544 7352 340.80
355.01 1.000576 3.916838E-3 0.677592  1.012E-4 7.81224 7382 340.50
354.57 1.000576 3.816118E-3 0.677473  1.007E-4 7.81273 7412 340.20
354.13 1.000576 3.758408E-3 0.677650  1.019E-4 7.81167 7441 339.85
353.77 1.000576 3.884053E-3 0.677741  1.004E-4 7.81808 7471 339.60
353.34 1.000576 3.997630E-3 0.677814  1.012E-4 7.80932 7500 339.30
352.92 1.000576 3.969161E-3 0.677867  1.013E-4 7.81272 7530 339.00
352.51 1.000576 4.130888E-3 0.678009  1.010E-4 7.81232 7560 338.70
352.11 1.000576 4.083907E-3 0.678011  1.008E-4 7.80275 7589 338.40
351.69 1.000576 3.825439E-3 0.678076  9.938E-5 7.80756 7619 338.10
351.29 1.000576 3.894490E-3 0.678182  1.001E-4 7.83206 7648 337.80
350.90 1.000576 3.814259E-3 0.678292  1.036E-4 7.79151 7678 337.55
350.51 1.000576 3.783199E-3 0.678401  1.014E-4 7.79795 7708 337.25
350.12 1.000576 3.892634E-3 0.678524  1.033E-4 7.79708 7737 337.00
349.75 1.000576 3.983660E-3 0.678669  1.016E-4 7.80220 7767 336.70
349.39 1.000576 3.729932E-3 0.678687  1.005E-4 7.80399 7796 336.40
349.02 1.000576 3.752854E-3 0.678730  1.009E-4 7.78981 7826 336.15
348.65 1.000576 3.710289E-3 0.678824  1.003E-4 7.79790 7856 335.90
348.29 1.000576 3.868568E-3 0.678903  1.020E-4 7.79128 7885 335.60
347.93 1.000576 3.982008E-3 0.679134  1.015E-4 7.79165 7915 335.30
347.57 1.000576 3.833593E-3 0.679291  1.010E-4 7.79548 7944 335.00
347.19 1.000576 3.818904E-3 0.679214  1.008E-4 7.78780 7974 334.80
