Nb
as received
Sample dimentions in mm: 0.7000 x 0.000 x 14.18
Photocell sensitivity 0.056 V/mm, Optic arm 328 mm
User: Iva
C 23 450 2.0 290 999 1.000  20 1.0E-1
24.11.2013, 06:51

T[K]   F[Hz]  Theta[rad]   Modulus  MaxStrain Center[mm] Time[s] TOven[K]
333.65 1.000576 3.874979E-3 0.688217  3.304E-5 8.18506 6133 324.30
333.40 1.000576 3.606176E-3 0.688310  3.293E-5 8.18468 6163 324.10
333.14 1.000576 3.755529E-3 0.687966  3.293E-5 8.18545 6192 323.95
332.91 1.000576 3.896441E-3 0.688305  3.288E-5 8.18434 6222 323.70
332.66 1.000576 3.960029E-3 0.688187  3.295E-5 8.18469 6252 323.55
332.43 1.000576 3.773162E-3 0.688310  3.296E-5 8.18292 6281 323.35
332.18 1.000576 4.401182E-3 0.688551  3.298E-5 8.18384 6311 323.20
331.94 1.000576 4.206470E-3 0.688395  3.297E-5 8.18181 6341 323.05
331.70 1.000576 3.959745E-3 0.688628  3.291E-5 8.18237 6371 322.85
331.46 1.000576 3.718126E-3 0.688706  3.281E-5 8.18203 6400 322.65
331.23 1.000576 3.901104E-3 0.688466  3.285E-5 8.18132 6430 322.50
331.01 1.000576 3.891203E-3 0.688555  3.288E-5 8.17998 6460 322.35
330.78 1.000576 3.784107E-3 0.688886  3.295E-5 8.18091 6489 322.20
330.56 1.000576 3.850351E-3 0.688817  3.299E-5 8.18155 6519 322.05
330.33 1.000576 3.996493E-3 0.688785  3.299E-5 8.18017 6549 321.85
330.12 1.000576 3.941507E-3 0.688798  3.289E-5 8.18008 6578 321.70
329.89 1.000576 3.723214E-3 0.688933  3.291E-5 8.18010 6608 321.55
329.67 1.000576 3.742584E-3 0.688928  3.292E-5 8.17993 6638 321.35
329.45 1.000576 3.848180E-3 0.688963  3.285E-5 8.17781 6668 321.20
329.24 1.000576 3.584460E-3 0.689164  3.294E-5 8.17900 6697 321.05
329.03 1.000576 3.791214E-3 0.688865  3.298E-5 8.17810 6727 320.90
328.81 1.000576 3.860524E-3 0.688994  3.290E-5 8.17811 6757 320.75
328.60 1.000576 3.758258E-3 0.689178  3.303E-5 8.17632 6786 320.55
328.40 1.000576 4.062865E-3 0.689238  3.278E-5 8.17657 6816 320.40
328.19 1.000576 3.557091E-3 0.688735  3.294E-5 8.17703 6846 320.25
327.98 1.000576 3.739975E-3 0.689566  3.280E-5 8.17647 6875 320.15
327.77 1.000576 3.657192E-3 0.689332  3.293E-5 8.17505 6905 319.95
327.56 1.000576 4.040216E-3 0.689272  3.283E-5 8.17614 6935 319.80
327.36 1.000576 3.907989E-3 0.689487  3.299E-5 8.17368 6965 319.65
327.17 1.000576 4.146374E-3 0.689534  3.286E-5 8.17358 6994 319.55
326.96 1.000576 3.353583E-3 0.689640  3.282E-5 8.17284 7024 319.35
326.77 1.000576 3.736092E-3 0.689471  3.298E-5 8.17433 7054 319.25
326.57 1.000576 3.700719E-3 0.689919  3.299E-5 8.17259 7083 319.05
326.37 1.000576 3.452992E-3 0.689612  3.292E-5 8.17320 7113 318.95
326.18 1.000576 4.177380E-3 0.689996  3.288E-5 8.17283 7143 318.80
325.99 1.000576 3.928302E-3 0.689716  3.280E-5 8.17354 7172 318.65
325.79 1.000576 4.142303E-3 0.689626  3.305E-5 8.17135 7202 318.55
325.60 1.000576 3.663376E-3 0.689765  3.288E-5 8.17057 7232 318.35
325.42 1.000576 3.898554E-3 0.689828  3.288E-5 8.17177 7262 318.25
325.24 1.000576 3.869377E-3 0.689909  3.303E-5 8.17143 7291 318.05
325.05 1.000576 3.929979E-3 0.689729  3.276E-5 8.17061 7321 317.95
324.87 1.000576 3.549246E-3 0.689850  3.295E-5 8.16991 7351 317.85
324.69 1.000576 4.295541E-3 0.689793  3.277E-5 8.16978 7380 317.70
324.51 1.000576 3.740863E-3 0.690046  3.273E-5 8.16906 7410 317.55
324.34 1.000576 3.994349E-3 0.690135  3.292E-5 8.16987 7440 317.45
324.12 1.000576 3.916333E-3 0.690112  3.283E-5 8.16856 7469 317.30
323.95 1.000576 4.108127E-3 0.690188  3.290E-5 8.16887 7499 317.15
323.78 1.000576 3.893561E-3 0.690000  3.287E-5 8.16828 7529 317.05
323.61 1.000576 3.723073E-3 0.690421  3.290E-5 8.16719 7559 316.90
323.46 1.000576 4.022714E-3 0.690179  3.281E-5 8.16721 7588 316.75
323.30 1.000576 3.782857E-3 0.690147  3.280E-5 8.16749 7618 316.65
323.14 1.000576 4.104869E-3 0.690226  3.274E-5 8.16781 7648 316.50
322.98 1.000576 3.913389E-3 0.690354  3.279E-5 8.16670 7677 316.45
322.75 1.000576 3.736413E-3 0.690192  3.285E-5 8.16632 7707 316.25
322.64 1.000576 3.494214E-3 0.690531  3.276E-5 8.16583 7737 316.15
322.44 1.000576 3.676924E-3 0.690337  3.275E-5 8.16604 7766 316.05
322.31 1.000576 3.843433E-3 0.690388  3.282E-5 8.16561 7796 315.90
322.14 1.000576 3.769754E-3 0.690530  3.282E-5 8.16515 7826 315.75
321.98 1.000576 3.853523E-3 0.690587  3.284E-5 8.16560 7856 315.65
321.82 1.000576 4.061961E-3 0.690385  3.281E-5 8.16516 7885 315.55
321.66 1.000576 3.891305E-3 0.690652  3.292E-5 8.16569 7915 315.45
321.50 1.000576 4.093308E-3 0.690717  3.287E-5 8.16474 7945 315.35
321.34 1.000576 3.809530E-3 0.690689  3.285E-5 8.16259 7974 315.20
321.19 1.000576 3.816059E-3 0.690801  3.288E-5 8.16426 8004 315.05
321.04 1.000576 3.648993E-3 0.690967  3.294E-5 8.16300 8034 314.95
320.86 1.000576 3.935563E-3 0.690436  3.286E-5 8.16231 8063 314.85
320.74 1.000576 3.838042E-3 0.690372  3.289E-5 8.16080 8093 314.75
320.59 1.000576 3.777957E-3 0.691039  3.293E-5 8.16143 8123 314.65
320.41 1.000576 3.870054E-3 0.690857  3.289E-5 8.16220 8153 314.55
320.26 1.000576 3.675306E-3 0.691119  3.282E-5 8.16094 8182 314.40
320.11 1.000576 3.555832E-3 0.691091  3.271E-5 8.16076 8212 314.30
319.94 1.000576 3.898180E-3 0.691124  3.294E-5 8.16024 8242 314.15
319.86 1.000576 3.878612E-3 0.691043  3.282E-5 8.15961 8271 314.10
319.72 1.000576 3.717241E-3 0.691072  3.283E-5 8.16020 8301 313.95
319.57 1.000576 3.753032E-3 0.691163  3.287E-5 8.16012 8331 313.85
319.40 1.000576 3.841887E-3 0.691512  3.287E-5 8.15859 8360 313.75
319.26 1.000576 3.802688E-3 0.691444  3.291E-5 8.15948 8390 313.65
319.12 1.000576 4.073540E-3 0.691223  3.283E-5 8.15800 8420 313.55
318.98 1.000576 3.559772E-3 0.691268  3.277E-5 8.15986 8450 313.45
318.84 1.000576 4.073207E-3 0.691442  3.283E-5 8.15596 8479 313.35
318.68 1.000576 4.005695E-3 0.691202  3.271E-5 8.15870 8509 313.25
318.55 1.000576 3.842981E-3 0.691513  3.285E-5 8.15832 8539 313.15
318.41 1.000576 4.188466E-3 0.691631  3.268E-5 8.15779 8568 313.05
318.28 1.000576 3.816634E-3 0.691553  3.282E-5 8.15768 8598 312.95
318.15 1.000576 3.811898E-3 0.691440  3.288E-5 8.15658 8628 312.85
318.02 1.000576 3.622435E-3 0.691568  3.271E-5 8.15732 8657 312.80
317.89 1.000576 3.638251E-3 0.691493  3.288E-5 8.15675 8687 312.65
317.79 1.000576 3.760370E-3 0.691815  3.278E-5 8.15471 8717 312.55
317.62 1.000576 3.625856E-3 0.691850  3.278E-5 8.15670 8747 312.50
317.50 1.000576 3.665948E-3 0.691611  3.296E-5 8.15648 8776 312.45
317.40 1.000576 3.805585E-3 0.691567  3.281E-5 8.15589 8806 312.35
317.25 1.000576 3.879907E-3 0.691672  3.273E-5 8.15499 8836 312.25
317.13 1.000576 4.010462E-3 0.691746  3.271E-5 8.15482 8865 312.15
317.01 1.000576 3.627156E-3 0.691848  3.283E-5 8.15563 8895 312.05
316.89 1.000576 3.453094E-3 0.691911  3.271E-5 8.15590 8925 311.95
316.76 1.000576 4.073604E-3 0.692087  3.279E-5 8.15481 8954 311.85
316.63 1.000576 3.762101E-3 0.691852  3.270E-5 8.15454 8984 311.75
316.52 1.000576 3.677875E-3 0.691779  3.264E-5 8.15457 9014 311.70
316.40 1.000576 3.743306E-3 0.691917  3.268E-5 8.15428 9044 311.55
316.28 1.000576 3.663552E-3 0.692288  3.279E-5 8.15392 9073 311.50
316.16 1.000576 3.776955E-3 0.691972  3.275E-5 8.15381 9103 311.45
316.05 1.000576 3.870885E-3 0.691787  3.274E-5 8.15337 9133 311.35
315.92 1.000576 4.151240E-3 0.691887  3.272E-5 8.15211 9162 311.25
315.81 1.000576 4.120471E-3 0.692212  3.269E-5 8.15270 9192 311.15
315.70 1.000576 3.659406E-3 0.692143  3.286E-5 8.15182 9222 311.05
315.58 1.000576 3.271969E-3 0.692509  3.277E-5 8.15242 9251 311.00
315.46 1.000576 3.747365E-3 0.692371  3.282E-5 8.15142 9281 310.85
315.38 1.000576 3.663120E-3 0.692296  3.263E-5 8.15179 9311 310.75
315.24 1.000576 3.753640E-3 0.692366  3.289E-5 8.15044 9341 310.75
315.14 1.000576 3.752997E-3 0.692315  3.285E-5 8.15024 9370 310.65
315.04 1.000576 3.573388E-3 0.692304  3.271E-5 8.14960 9400 310.55
314.92 1.000576 4.223220E-3 0.692452  3.287E-5 8.15042 9430 310.50
314.81 1.000576 3.934303E-3 0.692369  3.282E-5 8.14887 9459 310.40
314.70 1.000576 3.640380E-3 0.692403  3.290E-5 8.15016 9489 310.30
314.59 1.000576 3.967425E-3 0.692550  3.267E-5 8.14963 9519 310.20
