Nb
as received
Sample dimentions in mm: 0.7000 x 0.000 x 14.18
Photocell sensitivity 0.056 V/mm, Optic arm 328 mm
User: Iva
H 1 298 2.0 550 60 1.000  60 3.0E-1
27.11.2013, 11:16

T[K]   F[Hz]  Theta[rad]   Modulus  MaxStrain Center[mm] Time[s] TOven[K]
537.04 1.000576 5.683002E-3 0.622718  1.104E-4 8.07278 10304 550.00
537.12 1.000576 5.754351E-3 0.622806  1.103E-4 8.07419 10374 550.00
537.10 1.000576 5.573870E-3 0.622782  1.103E-4 8.07422 10444 550.00
537.12 1.000576 5.684580E-3 0.622834  1.104E-4 8.07531 10513 550.00
537.15 1.000576 5.616325E-3 0.622682  1.103E-4 8.07735 10583 550.00
537.18 1.000576 5.759817E-3 0.622751  1.103E-4 8.07791 10652 550.00
537.20 1.000576 5.640121E-3 0.622793  1.103E-4 8.08037 10722 550.00
537.24 1.000576 5.748506E-3 0.622706  1.104E-4 8.08148 10792 550.00
537.28 1.000576 5.675537E-3 0.622779  1.104E-4 8.08279 10861 550.00
537.29 1.000576 5.819062E-3 0.622676  1.104E-4 8.08466 10931 550.00
537.31 1.000576 5.786716E-3 0.622670  1.104E-4 8.08597 11000 550.00
537.34 1.000576 5.745067E-3 0.622709  1.103E-4 8.08755 11070 550.00
