Nb
as received
Sample dimentions in mm: 0.7000 x 0.000 x 14.18
Photocell sensitivity 0.056 V/mm, Optic arm 328 mm
User: Iva
H 9 380 2.0 390 120 1.000  20 1.0E-1
22.11.2013, 00:57

T[K]   F[Hz]  Theta[rad]   Modulus  MaxStrain Center[mm] Time[s] TOven[K]
377.11 1.000576 3.472126E-3 0.674677  3.386E-5 8.47114 6814 390.00
377.12 1.000576 3.368487E-3 0.674643  3.394E-5 8.47094 6844 390.00
377.10 1.000576 3.450590E-3 0.674689  3.396E-5 8.46979 6874 390.00
377.11 1.000576 3.370428E-3 0.674402  3.386E-5 8.47033 6903 390.00
377.07 1.000576 3.370935E-3 0.674529  3.393E-5 8.47089 6933 390.00
377.08 1.000576 3.656169E-3 0.674605  3.383E-5 8.47047 6963 390.00
377.08 1.000576 3.213484E-3 0.674924  3.392E-5 8.47157 6993 390.00
377.12 1.000576 3.075367E-3 0.674982  3.380E-5 8.47053 7023 390.00
377.12 1.000576 3.459444E-3 0.674730  3.404E-5 8.47081 7053 390.00
377.11 1.000576 3.525193E-3 0.674915  3.394E-5 8.47135 7083 390.00
377.14 1.000576 3.174664E-3 0.674749  3.400E-5 8.47053 7113 390.00
377.14 1.000576 3.259336E-3 0.674719  3.394E-5 8.47036 7143 390.00
377.14 1.000576 3.269515E-3 0.674680  3.400E-5 8.47024 7173 390.00
377.14 1.000576 3.204927E-3 0.674909  3.418E-5 8.47085 7202 390.00
377.11 1.000576 3.597856E-3 0.674755  3.394E-5 8.46988 7232 390.00
377.14 1.000576 3.243778E-3 0.674811  3.401E-5 8.47100 7262 390.00
377.14 1.000576 3.283807E-3 0.674742  3.396E-5 8.47007 7292 390.00
377.13 1.000576 3.483232E-3 0.674792  3.371E-5 8.46952 7322 390.00
377.14 1.000576 2.969744E-3 0.674568  3.415E-5 8.47047 7352 390.00
377.13 1.000576 3.261878E-3 0.674844  3.381E-5 8.47144 7382 390.00
377.14 1.000576 3.511012E-3 0.674609  3.391E-5 8.47004 7412 390.00
377.14 1.000576 3.024363E-3 0.674483  3.391E-5 8.47093 7442 390.00
377.14 1.000576 3.461894E-3 0.675023  3.388E-5 8.47007 7472 390.00
377.15 1.000576 3.437778E-3 0.674834  3.383E-5 8.46987 7501 390.00
