Index	X	Acquisition
363	5.41539296677082	25
364	5.44421090540169	17
365	5.47302968192228	17
366	5.50184930075981	24
367	5.53066976634151	17
368	5.55949108309461	24
369	5.58831325544634	29
370	5.61713628782391	28
371	5.64596018465457	17
372	5.67478495036553	31
373	5.70361058938402	27
374	5.73243710613727	27
375	5.76126450505251	23
376	5.79009279055696	31
377	5.81892196707785	27
378	5.84775203904241	21
379	5.87658301087787	24
380	5.90541488701144	32
381	5.93424767187036	30
382	5.96308136988186	30
383	5.99191598547317	29
384	6.0207515230715	33
385	6.04958798710408	39
386	6.07842538199815	23
387	6.10726371218093	22
388	6.13610298207965	24
389	6.16494319612153	23
390	6.19378435873381	35
391	6.2226264743437	39
392	6.25146954737843	25
393	6.28031358226524	26
394	6.30915858343135	32
395	6.33800455530398	29
396	6.36685150231037	23
397	6.39569942887774	28
398	6.42454833943331	24
399	6.45339823840432	27
400	6.48224913021798	34
401	6.51110101930154	22
402	6.53995391008221	29
403	6.56880780698722	36
404	6.59766271444381	30
405	6.62651863687918	26
406	6.65537557872058	21
407	6.68423354439523	34
408	6.71309253833036	34
409	6.74195256495319	36
410	6.77081362869095	30
411	6.79967573397087	39
412	6.82853888522017	30
413	6.85740308686608	22
414	6.88626834333584	29
415	6.91513465905666	29
416	6.94400203845577	24
417	6.9728704859604	28
418	7.00174000599777	29
419	7.03061060299512	34
420	7.05948228137968	23
421	7.08835504557865	34
422	7.11722890001929	32
423	7.1461038491288	30
424	7.17497989733442	23
425	7.20385704906338	30
426	7.2327353087429	29
427	7.26161468080021	39
428	7.29049516966254	33
429	7.3193767797571	31
430	7.34825951551114	29
431	7.37714338135188	29
432	7.40602838170654	31
433	7.43491452100235	25
434	7.46380180366654	17
435	7.49269023412633	37
436	7.52157981680896	40
437	7.55047055614164	25
438	7.57936245655162	27
439	7.6082555224661	27
440	7.63714975831232	33
441	7.66604516851752	50
442	7.6949417575089	24
443	7.72383952971371	41
444	7.75273848955916	31
445	7.78163864147249	38
446	7.81053998988092	41
447	7.83944253921168	39
448	7.86834629389199	25
449	7.89725125834909	31
450	7.9261574370102	33
451	7.95506483430254	25
452	7.98397345465335	27
453	8.01288330248985	23
454	8.04179438223926	33
455	8.07070669832882	41
456	8.09962025518575	35
457	8.12853505723728	28
458	8.15745110891064	26
459	8.18636841463305	27
460	8.21528697883173	28
461	8.24420680593393	32
462	8.27312790036686	36
463	8.30205026655774	41
464	8.33097390893382	44
465	8.35989883192231	31
466	8.38882503995044	45
467	8.41775253744544	36
468	8.44668132883453	37
469	8.47561141854495	43
470	8.50454281100391	34
471	8.53347551063865	28
472	8.5624095218764	27
473	8.59134484914437	29
474	8.6202814968698	38
475	8.64921946947992	37
476	8.67815877140195	36
477	8.70709940706311	27
478	8.73604138089064	36
479	8.76498469731177	25
480	8.79392936075371	29
481	8.8228753756437	35
482	8.85182274640895	28
483	8.88077147747671	36
484	8.9097215732742	31
485	8.93867303822864	28
486	8.96762587676726	39
487	8.99658009331729	34
488	9.02553569230596	34
489	9.05449267816048	25
490	9.0834510553081	30
